ID,Country,Category,Year,Region
e21ebe5d459aabe2bb9b,Bangladesh,Front-End Web & Mobile,2023,Asia Pacific
5c9fa88eacddd0fa2dce,India,Serverless,2023,Asia Pacific
83bdd669bd9adff56c19,United States,Serverless,2021,North America
8b6a321903b0e320d723,United States,Security,2024,North America
edbade2a45c0c2950103,France,Machine Learning,2024,"Europe, Middle East, & Africa"
f23a1693daf509b9b454,Egypt,Containers,2023,"Europe, Middle East, & Africa"
56c579a0f43e419d72a8,United States,Security,2023,North America
3292bea589385096ae94,Indonesia,Cloud Operations,2023,Asia Pacific
10044e815f20f2be16d4,United Arab Emirates,Machine Learning,2022,Asia Pacific
176a2c73d1634998fb98,Pakistan,Machine Learning,2023,Asia Pacific
12cc4387ac1214551608,United Kingdom,Dev Tools,2022,"Europe, Middle East, & Africa"
5c13239fea51c59c0675,Egypt,Machine Learning,2022,"Europe, Middle East, & Africa"
80738652961fe754248e,Pakistan,Front-End Web & Mobile,2021,Asia Pacific
2af4e3780e10b274ef58,Pakistan,Data,2021,Asia Pacific
493ae47acf1711d602d4,Saudi Arabia,Data,2023,"Europe, Middle East, & Africa"
a3c1ab5f5ac6ab71e0b0,Mexico,Containers,2023,North America
833c11afb87bc4c36a2e,India,Serverless,2024,Asia Pacific
921a12da877d6fd1079d,India,Containers,2023,Asia Pacific
fd1e4dca88ab176a4089,India,Security,2024,Asia Pacific
a6c2c8b9796d345bf4df,India,Data,2020,Asia Pacific
a2c936e6a4e1710f4386,India,Containers,2022,Asia Pacific
e14f38c4c8b78602bea7,United States,Serverless,2022,North America
13759036d55a8ec5f2e9,New Zealand,Security,2023,Asia Pacific
0ae28d9058dfa67f060a,India,Dev Tools,2023,Asia Pacific
06dd097342eb2dfdfd0d,India,Front-End Web & Mobile,2020,Asia Pacific
5f01f2cf51f96312ceae,United States,Game Tech,2023,North America
6b3284570178a621037c,Canada,Machine Learning,2023,North America
fd131c86642008a23ee9,Nepal,Dev Tools,2024,Asia Pacific
9f897da67568283d5ac7,Nigeria,Machine Learning,2022,"Europe, Middle East, & Africa"
b8d47c3fe99c128d15f2,Nigeria,Machine Learning,2021,"Europe, Middle East, & Africa"
e4618723218ba191a1ff,Nigeria,Front-End Web & Mobile,2023,"Europe, Middle East, & Africa"
d1ce73058c35670a5905,Nigeria,Data,2022,"Europe, Middle East, & Africa"
0ee90be5a2865a84cec3,Sri Lanka,Dev Tools,2023,Asia Pacific
ea8453ca0284fa4403c7,United Kingdom,Security,2022,"Europe, Middle East, & Africa"
5057e4bd8fddae615827,United States,Security,2023,North America
896e0d1145509b56cfc3,United States,Machine Learning,2024,North America
eaef679cd9f1937381c3,Czech Republic,Storage,2022,"Europe, Middle East, & Africa"
8eb7ebe6fb49bd639fff,Poland,Serverless,2023,"Europe, Middle East, & Africa"
f1ad0550f42d67c9ba69,Poland,Serverless,2023,"Europe, Middle East, & Africa"
ee770c430121aa73ac49,Kenya,Security,2021,"Europe, Middle East, & Africa"
5338129e46ab039bf3cf,Nigeria,Storage,2022,"Europe, Middle East, & Africa"
b81240c818d22c8c77df,Nigeria,Machine Learning,2022,"Europe, Middle East, & Africa"
2ec1996fb740696ebe43,Nigeria,Storage,2022,"Europe, Middle East, & Africa"
a5e62d63412a4fe066f1,Nigeria,Containers,2022,"Europe, Middle East, & Africa"
9e31708e11893e737284,India,Cloud Operations,2023,Asia Pacific
394911cdf5572e54cf33,Pakistan,Containers,2021,Asia Pacific
631e91ce50bf02bb11f9,Canada,Machine Learning,2023,North America
bad04f90e35d6ed95f46,India,Dev Tools,2021,Asia Pacific
6ff71a8a8d5bd3f4f629,Indonesia,Dev Tools,2023,Asia Pacific
14a6003880eec6c58a7d,India,Security,2023,Asia Pacific
b953fdd12e04c4ae62e2,Indonesia,Containers,2022,Asia Pacific
fb0531cd7b6a21af7071,South Africa,Serverless,2021,"Europe, Middle East, & Africa"
bdb49ee21f932eb9337b,Spain,Serverless,2024,"Europe, Middle East, & Africa"
be9d8f54bcaeb538517e,Mexico,Machine Learning,2024,North America
e9007d7e20e36e8e441c,France,Containers,2023,"Europe, Middle East, & Africa"
bcbbdfcb886dda647d91,Hungary,Serverless,2023,"Europe, Middle East, & Africa"
b4abaf758ee39203dfce,Indonesia,Machine Learning,2022,Asia Pacific
07207bf2616473cbfff6,France,Cloud Operations,2022,"Europe, Middle East, & Africa"
e4381f310cc99c93e542,Pakistan,Machine Learning,2022,Asia Pacific
d6cb9fd2e286be5d8b42,Egypt,Machine Learning,2021,"Europe, Middle East, & Africa"
29ed540ec28b21f38c98,Egypt,Front-End Web & Mobile,2021,"Europe, Middle East, & Africa"
1c61cb382b6f506d3188,Egypt,Serverless,2022,"Europe, Middle East, & Africa"
9ffc25c6a2504585be00,Egypt,Machine Learning,2022,"Europe, Middle East, & Africa"
4ad80cd9d7a06d40b723,United Arab Emirates,Containers,2022,Asia Pacific
0ff476998361e4c4f19d,Iraq,Security,2023,"Europe, Middle East, & Africa"
9f56742556c4990da972,Egypt,Data,2023,"Europe, Middle East, & Africa"
97c450850ca2863d5191,Egypt,Containers,2022,"Europe, Middle East, & Africa"
b121a91c9d3fe0df2a32,United Kingdom,Serverless,2021,"Europe, Middle East, & Africa"
290fdc443bc71b65c871,United Arab Emirates,Cloud Operations,2023,Asia Pacific
42960d7c9e637ca757fd,Egypt,Networking & Content Delivery,2020,"Europe, Middle East, & Africa"
4b6d66951e2bc1e088e4,Bosnia & Herzegovina,Containers,2024,"Europe, Middle East, & Africa"
8fdc878ae8d251aedea5,Egypt,Machine Learning,2022,"Europe, Middle East, & Africa"
f04fde895998edd8fc70,Nigeria,Data,2023,"Europe, Middle East, & Africa"
524f740b669e90f2f483,Malaysia,Containers,2021,Asia Pacific
b1d104c7de3ecc589fb4,United Kingdom,Front-End Web & Mobile,2022,"Europe, Middle East, & Africa"
01bde6ac705fcb4d2dae,Nepal,Dev Tools,2023,Asia Pacific
06262fe4ab824c08c7cb,India,Containers,2020,Asia Pacific
e928e2c677d88c198196,India,Dev Tools,2024,Asia Pacific
71513b11ccb9c0a2a38c,United Kingdom,Serverless,2020,"Europe, Middle East, & Africa"
cd4656d9f27cc679fd70,India,Networking & Content Delivery,2021,Asia Pacific
0e70d3b920132c1fb558,Qatar,Containers,2021,"Europe, Middle East, & Africa"
f7d7bf87415e1fd11b23,Nigeria,Front-End Web & Mobile,2022,"Europe, Middle East, & Africa"
cd97c20aa05f0713fde7,India,Serverless,2023,Asia Pacific
4070ed4069da3ee3ca8f,Singapore,Containers,2022,Asia Pacific
d15765a62d354ec5c1dd,India,Dev Tools,2022,Asia Pacific
a1a1cf30d56a6359cc35,Russia,Containers,2024,"Europe, Middle East, & Africa"
edf78f93072399ae8a68,India,Containers,2023,Asia Pacific
a8ebbc4c75d8b10a64c6,India,Serverless,2021,Asia Pacific
