id,heroName,heroLocation,heroSinceDate,heroImageURL,featureFlag,superpower,category,heroCountry,heroRegion,heroSince,status,heroSuperpower
community-heroes#adeline-makokha,Adeline Makokha,"Nairobi, Kenya",Hero since 2025,https://d1.awsstatic.com/developer-center/adeline-makokha.9dedfa6a1f5a280432f9a5d0721328e50e618747.png,NEW,Open Source Contributor,AWS Community Hero,Kenya,"Europe, Middle East, & Africa",2025,Current Heros,"Open Source Contributor, Meetup Organizer, Blogger, Conference Speaker"
community-heroes#adeline-makokha,Adeline Makokha,"Nairobi, Kenya",Hero since 2025,https://d1.awsstatic.com/developer-center/adeline-makokha.9dedfa6a1f5a280432f9a5d0721328e50e618747.png,NEW,Meetup Organizer,AWS Community Hero,Kenya,"Europe, Middle East, & Africa",2025,Current Heros,"Open Source Contributor, Meetup Organizer, Blogger, Conference Speaker"
community-heroes#adeline-makokha,Adeline Makokha,"Nairobi, Kenya",Hero since 2025,https://d1.awsstatic.com/developer-center/adeline-makokha.9dedfa6a1f5a280432f9a5d0721328e50e618747.png,NEW,Blogger,AWS Community Hero,Kenya,"Europe, Middle East, & Africa",2025,Current Heros,"Open Source Contributor, Meetup Organizer, Blogger, Conference Speaker"
community-heroes#adeline-makokha,Adeline Makokha,"Nairobi, Kenya",Hero since 2025,https://d1.awsstatic.com/developer-center/adeline-makokha.9dedfa6a1f5a280432f9a5d0721328e50e618747.png,NEW,Conference Speaker,AWS Community Hero,Kenya,"Europe, Middle East, & Africa",2025,Current Heros,"Open Source Contributor, Meetup Organizer, Blogger, Conference Speaker"
community-heroes#david-victoria,David Victoria,"Monterrey, Mexico",Hero since 2025,https://d1.awsstatic.com/developer-center/david-victoria.681cc9ee2e95ec67d7190d15d17c975521e2d4f2.png,New,Trainer / Educator,AWS Community Hero,Mexico,North America,2025,Current Heros,"Trainer / Educator, Meetup Organizer, Conference Speaker"
community-heroes#david-victoria,David Victoria,"Monterrey, Mexico",Hero since 2025,https://d1.awsstatic.com/developer-center/david-victoria.681cc9ee2e95ec67d7190d15d17c975521e2d4f2.png,New,Meetup Organizer,AWS Community Hero,Mexico,North America,2025,Current Heros,"Trainer / Educator, Meetup Organizer, Conference Speaker"
community-heroes#david-victoria,David Victoria,"Monterrey, Mexico",Hero since 2025,https://d1.awsstatic.com/developer-center/david-victoria.681cc9ee2e95ec67d7190d15d17c975521e2d4f2.png,New,Conference Speaker,AWS Community Hero,Mexico,North America,2025,Current Heros,"Trainer / Educator, Meetup Organizer, Conference Speaker"
community-heroes#christian-bonzelet,Christian Bonzelet,"Cologne, Germany",Hero since 2025,https://d1.awsstatic.com/developer-center/christian-bonzelet.93675b75bf7fffb8cab82736e44978645bf13f91.png,New,Conference Speaker,AWS DevTools Hero,Germany,"Europe, Middle East, & Africa",2025,Current Heros,"Conference Speaker, Blogger"
community-heroes#christian-bonzelet,Christian Bonzelet,"Cologne, Germany",Hero since 2025,https://d1.awsstatic.com/developer-center/christian-bonzelet.93675b75bf7fffb8cab82736e44978645bf13f91.png,New,Blogger,AWS DevTools Hero,Germany,"Europe, Middle East, & Africa",2025,Current Heros,"Conference Speaker, Blogger"
community-heroes#nora-schoener,Nora Schöner,"Erlangen, Germany",Hero since 2025,https://d1.awsstatic.com/developer-center/nora-schoener.f3987cd33ecc48e46b4dccdfb456d315c38180ce.png,New,Conference Speaker,AWS DevTools Hero,Germany,"Europe, Middle East, & Africa",2025,Current Heros,"Conference Speaker, Meetup Organizer, Blogger"
community-heroes#nora-schoener,Nora Schöner,"Erlangen, Germany",Hero since 2025,https://d1.awsstatic.com/developer-center/nora-schoener.f3987cd33ecc48e46b4dccdfb456d315c38180ce.png,New,Meetup Organizer,AWS DevTools Hero,Germany,"Europe, Middle East, & Africa",2025,Current Heros,"Conference Speaker, Meetup Organizer, Blogger"
community-heroes#nora-schoener,Nora Schöner,"Erlangen, Germany",Hero since 2025,https://d1.awsstatic.com/developer-center/nora-schoener.f3987cd33ecc48e46b4dccdfb456d315c38180ce.png,New,Blogger,AWS DevTools Hero,Germany,"Europe, Middle East, & Africa",2025,Current Heros,"Conference Speaker, Meetup Organizer, Blogger"
community-heroes#badri-kesavan,Badri Narayanan Kesavan,Singapore,Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Badri%20Narayanan%20Kesavan-100.31ef5982037cd5ada858bf1387b82724bf12a73f.png,,Meetup Organizer,AWS Community Hero,Singapore,Asia Pacific,2025,Current Heros,"Meetup Organizer, Conference Speaker"
community-heroes#badri-kesavan,Badri Narayanan Kesavan,Singapore,Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Badri%20Narayanan%20Kesavan-100.31ef5982037cd5ada858bf1387b82724bf12a73f.png,,Conference Speaker,AWS Community Hero,Singapore,Asia Pacific,2025,Current Heros,"Meetup Organizer, Conference Speaker"
community-heroes#marcelo-paiva,Marcelo Paiva,"Goiânia, Brazil",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Marcelo%20Paiva-100.4e8e535130658846e9e4215cc9388c286ced7ea7.png,,Trainer / Educator,AWS Community Hero,Brazil,Latin America,2025,Current Heros,"Trainer / Educator, Conference Speaker, Meetup Organizer"
community-heroes#marcelo-paiva,Marcelo Paiva,"Goiânia, Brazil",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Marcelo%20Paiva-100.4e8e535130658846e9e4215cc9388c286ced7ea7.png,,Conference Speaker,AWS Community Hero,Brazil,Latin America,2025,Current Heros,"Trainer / Educator, Conference Speaker, Meetup Organizer"
community-heroes#marcelo-paiva,Marcelo Paiva,"Goiânia, Brazil",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Marcelo%20Paiva-100.4e8e535130658846e9e4215cc9388c286ced7ea7.png,,Meetup Organizer,AWS Community Hero,Brazil,Latin America,2025,Current Heros,"Trainer / Educator, Conference Speaker, Meetup Organizer"
community-heroes#ahmed-bebars,Ahmed Bebars,"New Jersey, United States ",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/ahmed-bebars-100.d1eb6693748ab716d70f376ac93c2cdda7187445.png,,Meetup Organizer,AWS Container Hero,United States,North America,2025,Current Heros,"Meetup Organizer, Trainer / Educator, Open Source Contributor, Blogger, Conference Speaker"
community-heroes#ahmed-bebars,Ahmed Bebars,"New Jersey, United States ",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/ahmed-bebars-100.d1eb6693748ab716d70f376ac93c2cdda7187445.png,,Trainer / Educator,AWS Container Hero,United States,North America,2025,Current Heros,"Meetup Organizer, Trainer / Educator, Open Source Contributor, Blogger, Conference Speaker"
community-heroes#ahmed-bebars,Ahmed Bebars,"New Jersey, United States ",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/ahmed-bebars-100.d1eb6693748ab716d70f376ac93c2cdda7187445.png,,Open Source Contributor,AWS Container Hero,United States,North America,2025,Current Heros,"Meetup Organizer, Trainer / Educator, Open Source Contributor, Blogger, Conference Speaker"
community-heroes#ahmed-bebars,Ahmed Bebars,"New Jersey, United States ",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/ahmed-bebars-100.d1eb6693748ab716d70f376ac93c2cdda7187445.png,,Blogger,AWS Container Hero,United States,North America,2025,Current Heros,"Meetup Organizer, Trainer / Educator, Open Source Contributor, Blogger, Conference Speaker"
community-heroes#ahmed-bebars,Ahmed Bebars,"New Jersey, United States ",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/ahmed-bebars-100.d1eb6693748ab716d70f376ac93c2cdda7187445.png,,Conference Speaker,AWS Container Hero,United States,North America,2025,Current Heros,"Meetup Organizer, Trainer / Educator, Open Source Contributor, Blogger, Conference Speaker"
community-heroes#raphael-jambalos,Raphael Jambalos,"Quezon City, Philippines",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Raphael%20Jambalos-100.9f843ef8ef3eced9dd7f86e0d5b5ea4b6ae81a16.png,,Trainer / Educator,AWS Community Hero,Philippines,Asia Pacific,2025,Current Heros,"Trainer / Educator, Meetup Organizer, Blogger, Conference Speaker"
community-heroes#raphael-jambalos,Raphael Jambalos,"Quezon City, Philippines",Hero since 2025,https://d1.awsstatic.com/getting-started-guides/hero-images-2025/Raphael%20Jambalos-100.9f843ef8ef3eced9dd7f86e0d5b5ea4b6ae81a16.png,,Meetup Organizer,AWS Community Hero,Philippines,Asia Pacific,2025,Current Heros,"Trainer / Educator, Meetup Organizer, Blogger, Conference Speaker"
